"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v14011",1259.72080927453,475.970148950744,744.695121156791,2.73974010802499,98351567054.504,8912047.7701,3097669.6737
"v14012",1431.34076480784,441.482939833506,298.408013923904,2.26412670964329,131093464641.754,9012047.7701,3097669.6737
"v14013",1265.55712742776,488.108567680123,183.602625121956,2.47440547664809,35450839525.4625,9112047.7701,3097669.6737
"v1410",1371.75504255497,68.334962929055,171.245903693945,0.316309605648537,123403856470.263,-7787952.2299,-302330.326300001
"v1411",5754.55330593145,748.290914332195,385.666014759328,3.06126561239811,65701805774.4988,-7687952.2299,-302330.326300001
"v1412",9407.25969426125,940.127394651105,465.733561244087,5.05523260269093,177188871698.349,-7587952.2299,-302330.326300001
"v1413",3954.58288112624,408.856839288694,405.432132074049,2.00989287955738,32865315419.7801,-7487952.2299,-302330.326300001
"v14484",1519.96733949535,524.081985486276,162.758885845325,2.52940008630337,71485755244.8422,10012047.7701,2797669.6737
"v1466",2087.74841647565,330.268361469764,94.4444679932797,1.91779864103594,90351180600.9513,2712047.7701,-302330.326300001
"v1467",3074.89833979421,320.791492427703,199.196327836441,1.59452336177311,101194858716.289,2812047.7701,-302330.326300001
"v1468",1328.59299997226,110.385134051986,101.709073593592,0.587013498828733,28798420186.5903,2912047.7701,-302330.326300001
"v1474",1260.856060586,381.672204831461,116.948680556115,3.20471864245446,120911610707.173,3512047.7701,-302330.326300001
"v1475",1272.15893980759,155.267881303814,74.960708427917,0.811601895126077,85381010208.7803,3612047.7701,-302330.326300001
"v14771",1453.92794374476,435.572312658131,737.285732382635,2.34710381982373,111939438829.554,9012047.7701,2597669.6737
"v14951",1504.29377190849,719.768884753522,473.369526855609,3.59972371384459,151597051569.953,-9387952.2299,2397669.6737
"v15094",1573.79050731709,503.678363911412,647.36991295099,3.49607715003806,192227453355.585,-9387952.2299,2297669.6737
"v15095",1436.47071367154,316.395455626889,717.142558470904,1.40815531046199,118014176753.144,-9287952.2299,2297669.6737
"v15109",1525.93703171107,221.869255531178,309.130383933453,1.83614441853785,230539561242.399,-7487952.2299,2297669.6737
"v15111",1636.49962063032,265.823240528114,379.397191917571,1.94727258250305,289891151102.871,-7387952.2299,2297669.6737
"v15126",1471.3216549229,208.809526919397,330.278984598716,1.52426487561122,264090353194.848,-6387952.2299,2297669.6737
"v1528",6869.20184376309,1349.81116632143,215.632996640298,6.26894167860643,43946441448.7416,-7687952.2299,-402330.326300001
"v1529",7896.34860547846,823.560482712093,464.278727907375,4.55639419739577,221902344585.538,-7587952.2299,-402330.326300001
"v1530",1821.22978450097,338.949141030459,197.194170711574,1.55303216702921,15333151893.1039,-7487952.2299,-402330.326300001
"v15304",1251.7450065303,560.576299901661,172.832783840602,2.12979962491917,202533456465.635,-9787952.2299,2197669.6737
